shipment_id,truck_id,origin_port,border,destination,depart_time,border_arrival_time,border_exit_time,arrival_time,goods_category,weight_kg,declared_value_usd,fuel_price_usd_per_litre,rainfall_indicator,delay_reason
SHP00022,TRK789,Mombasa,Malaba,Kampala,2024-06-16 20:00:00,2024-06-17 04:35:25.826017,2024-06-17 06:11:45.785637,2024-06-17 11:48:23.532099,Food,22008.89,19290.54,1.2,1,None
SHP00023,TRK243,Mombasa,Malaba,Kampala,2024-04-18 05:00:00,2024-04-18 14:40:16.575125,2024-04-18 16:05:22.744318,2024-04-18 21:05:19.957168,Fuel,28862.61,40492.64,1.38,0,None
SHP00024,TRK767,Mombasa,Malaba,Kampala,2024-05-18 00:00:00,2024-05-18 13:48:50.319157,2024-05-18 19:36:56.983670,2024-05-19 03:19:16.668225,Textiles,5127.42,5560.63,1.34,1,None
SHP00025,TRK160,Mombasa,Malaba,Kampala,2024-02-12 12:00:00,2024-02-12 20:00:46.556172,2024-02-13 04:27:10.777298,2024-02-13 10:00:52.850607,Textiles,10066.16,10062.88,1.45,1,None
SHP00026,TRK258,Mombasa,Malaba,Kampala,2024-02-18 09:00:00,2024-02-18 18:18:22.339406,2024-02-18 23:59:58.963609,2024-02-19 04:14:01.123014,Pharmaceuticals,5253.17,6953.01,1.13,1,None
SHP00027,TRK614,Mombasa,Malaba,Kampala,2024-05-15 05:00:00,2024-05-15 13:20:28.598922,2024-05-15 17:54:23.814035,2024-05-15 23:56:16.544392,Textiles,4672.42,5684.11,1.44,0,None
SHP00028,TRK513,Mombasa,Malaba,Kampala,2024-01-31 18:00:00,2024-02-01 03:28:38.251512,2024-02-01 07:23:57.971010,2024-02-01 13:46:39.046821,Construction Materials,16639.67,20968.67,1.38,1,None
SHP00029,TRK367,Mombasa,Malaba,Kampala,2024-02-22 21:00:00,2024-02-23 09:17:49.742897,2024-02-23 12:43:00.769068,2024-02-23 17:40:17.846786,Machinery,10879.32,13619.28,1.33,0,None
SHP00030,TRK109,Mombasa,Malaba,Kampala,2024-04-27 19:00:00,2024-04-28 08:59:26.615922,2024-04-28 19:18:14.848368,2024-04-29 03:17:18.637217,Fuel,30752.69,35492.27,1.17,1,None
SHP00031,TRK170,Mombasa,Malaba,Kampala,2024-03-03 11:00:00,2024-03-03 20:42:35.727650,2024-03-04 03:04:23.002195,2024-03-04 08:49:32.860046,Construction Materials,29070.8,35704.01,1.59,0,None
SHP00032,TRK783,Mombasa,Malaba,Kampala,2024-05-21 09:00:00,2024-05-21 22:35:25.930452,2024-05-22 02:14:32.973640,2024-05-22 06:39:24.619268,Electronics,8966.99,12758.22,1.47,0,None
SHP00033,TRK378,Mombasa,Malaba,Kampala,2024-03-13 19:00:00,2024-03-14 04:15:49.600544,2024-03-14 07:04:24.951061,2024-03-14 12:26:42.427205,Pharmaceuticals,5805.43,5717.12,1.34,0,None
SHP00034,TRK194,Mombasa,Malaba,Kampala,2024-06-11 13:00:00,2024-06-12 01:58:33.918730,2024-06-12 09:44:20.203462,2024-06-12 13:54:55.052832,Food,21566.79,26871.78,1.23,1,None
SHP00035,TRK664,Mombasa,Malaba,Kampala,2024-06-29 13:00:00,2024-06-30 00:21:55.588279,2024-06-30 10:30:56.758352,2024-06-30 14:57:47.742232,Pharmaceuticals,7423.57,8774.02,1.52,0,None
SHP00036,TRK540,Mombasa,Malaba,Kampala,2024-02-02 01:00:00,2024-02-02 10:50:58.380358,2024-02-02 20:23:35.446001,2024-02-03 03:59:20.779439,Textiles,11749.77,9727.94,1.28,0,None
SHP00037,TRK782,Mombasa,Malaba,Kampala,2024-01-27 11:00:00,2024-01-27 23:40:50.510824,2024-01-28 02:05:01.818945,2024-01-28 09:37:13.358646,Machinery,29424.41,38976.58,1.56,0,None
SHP00038,TRK985,Mombasa,Malaba,Kampala,2024-02-11 05:00:00,2024-02-11 18:17:18.590021,2024-02-11 22:11:02.366275,2024-02-12 02:16:59.289886,Pharmaceuticals,7546.92,10170.76,1.31,0,None
SHP00039,TRK373,Mombasa,Malaba,Kampala,2024-02-10 22:00:00,2024-02-11 06:38:54.865530,2024-02-11 10:00:46.363179,2024-02-11 17:30:05.564853,Textiles,7236.21,6799.87,1.56,1,None
SHP00040,TRK412,Mombasa,Malaba,Kampala,2024-02-28 07:00:00,2024-02-28 15:08:31.151790,2024-02-28 19:27:24.663440,2024-02-29 00:13:45.732392,Food,14179.05,12032.26,1.49,1,None
SHP00041,TRK756,Mombasa,Malaba,Kampala,2024-05-10 12:00:00,2024-05-11 00:04:37.591357,2024-05-11 08:55:49.347409,2024-05-11 16:18:18.068160,Food,24088.56,21215.74,1.59,0,None
SHP00042,TRK694,Mombasa,Malaba,Kampala,2024-03-08 01:00:00,2024-03-08 09:39:01.495020,2024-03-08 21:57:25.929558,2024-03-09 03:41:43.647681,Pharmaceuticals,6718.57,7427.22,1.59,0,Traffic Congestion
SHP00043,TRK690,Mombasa,Malaba,Kampala,2024-02-18 08:00:00,2024-02-18 16:15:58.749128,2024-02-18 22:48:06.410243,2024-02-19 04:32:45.638466,Construction Materials,33511.5,39440.23,1.46,0,None
SHP00044,TRK472,Mombasa,Malaba,Kampala,2024-04-20 02:00:00,2024-04-20 15:41:35.688897,2024-04-20 18:35:16.010826,2024-04-21 02:16:15.111156,Construction Materials,21278.31,29653.68,1.46,1,None
SHP00045,TRK619,Mombasa,Malaba,Kampala,2024-03-20 21:00:00,2024-03-21 07:27:01.286826,2024-03-21 12:18:46.380047,2024-03-21 17:55:20.945621,Food,18316.19,17112.6,1.43,1,None
SHP00046,TRK793,Mombasa,Malaba,Kampala,2024-02-14 19:00:00,2024-02-15 06:24:52.673505,2024-02-15 20:15:08.100484,2024-02-16 01:52:35.582914,Textiles,3003.65,3006.17,1.31,1,Traffic Congestion
SHP00047,TRK552,Mombasa,Malaba,Kampala,2024-04-23 21:00:00,2024-04-24 06:16:55.950261,2024-04-24 11:37:37.107158,2024-04-24 17:31:10.988235,Textiles,9623.65,12137.3,1.24,1,None
SHP00048,TRK195,Mombasa,Malaba,Kampala,2024-03-01 21:00:00,2024-03-02 06:51:45.060429,2024-03-02 10:47:29.655217,2024-03-02 18:01:04.160899,Electronics,5366.38,5212.85,1.34,0,None
SHP00049,TRK566,Mombasa,Malaba,Kampala,2024-04-16 20:00:00,2024-04-17 07:27:14.491427,2024-04-17 11:39:02.099634,2024-04-17 18:31:26.280817,Machinery,18876.3,18324.91,1.43,0,None
SHP00050,TRK868,Mombasa,Malaba,Kampala,2024-01-28 13:00:00,2024-01-28 22:18:46.968555,2024-01-29 04:49:39.312887,2024-01-29 12:02:38.494816,Pharmaceuticals,5107.75,4265.75,1.22,0,None
SHP00051,TRK567,Mombasa,Malaba,Kampala,2024-02-04 14:00:00,2024-02-05 02:00:19.679024,2024-02-05 04:28:56.501757,2024-02-05 12:26:02.153081,Construction Materials,21345.96,28361.84,1.32,1,None
SHP00052,TRK950,Mombasa,Malaba,Kampala,2024-05-20 14:00:00,2024-05-21 03:22:59.695030,2024-05-21 06:40:51.023906,2024-05-21 13:39:19.662273,Machinery,17901.53,23741.79,1.52,1,None
SHP00053,TRK884,Mombasa,Malaba,Kampala,2024-05-13 15:00:00,2024-05-14 02:45:37.766239,2024-05-14 12:12:35.308090,2024-05-14 17:18:29.511326,Fuel,34270.9,33042.13,1.27,0,None
SHP00054,TRK241,Mombasa,Malaba,Kampala,2024-02-08 07:00:00,2024-02-08 17:17:53.562317,2024-02-08 23:40:57.340562,2024-02-09 04:17:37.736401,Electronics,5963.43,6472.23,1.37,1,None
SHP00055,TRK163,Mombasa,Malaba,Kampala,2024-02-22 13:00:00,2024-02-22 23:20:12.699154,2024-02-23 04:43:20.436231,2024-02-23 11:48:05.495352,Pharmaceuticals,2117.19,2998.91,1.39,1,None
SHP00056,TRK106,Mombasa,Malaba,Kampala,2024-03-31 09:00:00,2024-03-31 21:31:15.062701,2024-04-01 07:17:20.009200,2024-04-01 14:42:09.659688,Textiles,6771.19,8960.05,1.37,0,None
SHP00057,TRK599,Mombasa,Malaba,Kampala,2024-02-26 08:00:00,2024-02-26 18:36:54.057083,2024-02-26 21:21:32.663548,2024-02-27 01:28:30.620955,Food,20033.1,27218.97,1.46,1,None
SHP00058,TRK230,Mombasa,Malaba,Kampala,2024-06-08 17:00:00,2024-06-09 01:09:42.475361,2024-06-09 04:59:49.572467,2024-06-09 10:34:23.464158,Construction Materials,28260.0,24268.65,1.31,1,None
SHP00059,TRK286,Mombasa,Malaba,Kampala,2024-01-13 08:00:00,2024-01-13 18:16:28.643466,2024-01-14 00:30:41.090758,2024-01-14 05:21:28.998851,Food,15062.51,21324.72,1.24,1,None
SHP00060,TRK358,Mombasa,Malaba,Kampala,2024-01-21 15:00:00,2024-01-21 23:06:58.679000,2024-01-22 05:11:49.356578,2024-01-22 11:21:16.990868,Food,13363.33,11332.54,1.58,0,None
SHP00061,TRK872,Mombasa,Malaba,Kampala,2024-01-08 07:00:00,2024-01-08 16:11:46.190739,2024-01-08 17:28:25.322941,2024-01-08 21:33:18.795190,Electronics,8578.17,9706.14,1.16,0,None
SHP00062,TRK576,Mombasa,Malaba,Kampala,2024-06-28 08:00:00,2024-06-28 20:36:04.998924,2024-06-29 00:08:33.982191,2024-06-29 04:48:50.145855,Construction Materials,34274.69,44654.78,1.49,0,None
SHP00063,TRK418,Mombasa,Malaba,Kampala,2024-01-28 18:00:00,2024-01-29 02:09:14.653991,2024-01-29 06:33:18.236391,2024-01-29 11:48:10.420710,Pharmaceuticals,7448.16,7915.27,1.57,0,None
SHP00064,TRK177,Mombasa,Malaba,Kampala,2024-05-31 22:00:00,2024-06-01 10:59:00.347290,2024-06-01 17:43:02.087144,2024-06-01 22:41:19.118224,Pharmaceuticals,6634.89,9257.03,1.4,0,None
SHP00065,TRK915,Mombasa,Malaba,Kampala,2024-05-24 01:00:00,2024-05-24 11:04:59.601331,2024-05-24 17:08:54.648659,2024-05-24 22:51:43.292050,Food,11034.35,13829.13,1.11,1,None
SHP00066,TRK942,Mombasa,Malaba,Kampala,2024-05-05 03:00:00,2024-05-05 13:36:04.105469,2024-05-05 18:19:05.949480,2024-05-05 23:46:01.457234,Textiles,7137.65,6474.52,1.19,1,None
SHP00067,TRK730,Mombasa,Malaba,Kampala,2024-05-17 15:00:00,2024-05-18 01:47:21.273467,2024-05-18 02:25:53.608352,2024-05-18 09:44:04.186569,Construction Materials,20367.91,28437.66,1.52,0,None
SHP00068,TRK385,Mombasa,Malaba,Kampala,2024-04-25 07:00:00,2024-04-25 19:30:10.287687,2024-04-26 00:24:03.136587,2024-04-26 06:40:48.971470,Pharmaceuticals,4273.94,3505.02,1.53,0,None
SHP00069,TRK599,Mombasa,Malaba,Kampala,2024-02-24 11:00:00,2024-02-24 23:47:13.178907,2024-02-25 05:01:26.080407,2024-02-25 10:23:06.959749,Construction Materials,29023.68,28831.78,1.11,0,None
SHP00070,TRK187,Mombasa,Malaba,Kampala,2024-03-02 23:00:00,2024-03-03 09:26:18.847493,2024-03-04 05:26:18.847493,2024-03-04 11:39:33.384940,Electronics,15359.14,19231.67,1.35,0,Customs Inspection
SHP00071,TRK401,Mombasa,Malaba,Kampala,2024-02-26 12:00:00,2024-02-27 00:09:02.602554,2024-02-27 04:26:31.568098,2024-02-27 09:40:00.934932,Construction Materials,22380.41,26575.19,1.27,1,None
SHP00072,TRK460,Mombasa,Malaba,Kampala,2024-06-28 14:00:00,2024-06-28 23:37:31.794823,2024-06-29 05:53:12.037666,2024-06-29 10:53:32.250603,Fuel,34425.69,35144.62,1.47,0,None
SHP00073,TRK296,Mombasa,Malaba,Kampala,2024-02-25 23:00:00,2024-02-26 09:54:18.689484,2024-02-26 20:45:56.987280,2024-02-27 03:39:51.011296,Textiles,7721.73,7707.05,1.15,0,None
SHP00074,TRK403,Mombasa,Malaba,Kampala,2024-02-28 11:00:00,2024-02-28 20:04:35.937344,2024-02-29 04:35:27.122466,2024-02-29 08:38:50.858954,Construction Materials,17531.66,14583.9,1.13,1,None
SHP00075,TRK814,Mombasa,Malaba,Kampala,2024-02-02 20:00:00,2024-02-03 09:12:38.761861,2024-02-03 21:50:57.051332,2024-02-04 03:48:45.704533,Textiles,3110.39,3107.4,1.34,1,Documentation Issues
SHP00076,TRK152,Mombasa,Malaba,Kampala,2024-03-05 15:00:00,2024-03-05 23:41:04.282240,2024-03-06 00:58:59.734210,2024-03-06 05:14:40.679676,Machinery,9629.81,11946.86,1.13,0,None
SHP00077,TRK930,Mombasa,Malaba,Kampala,2024-05-24 09:00:00,2024-05-24 17:30:39.907621,2024-05-24 19:34:20.176078,2024-05-25 00:33:54.125833,Construction Materials,30288.87,37086.37,1.5,0,None
SHP00078,TRK894,Mombasa,Malaba,Kampala,2024-05-13 12:00:00,2024-05-13 22:42:11.112442,2024-05-14 01:48:53.596522,2024-05-14 07:35:08.778980,Textiles,8296.73,9127.9,1.38,0,None
SHP00079,TRK724,Mombasa,Malaba,Kampala,2024-01-26 06:00:00,2024-01-26 17:45:11.124657,2024-01-26 18:49:51.750361,2024-01-26 23:53:22.654565,Fuel,23141.14,21328.48,1.14,0,None
SHP00080,TRK518,Mombasa,Malaba,Kampala,2024-04-25 22:00:00,2024-04-26 09:33:46.321815,2024-04-26 14:49:59.300586,2024-04-26 19:59:53.434348,Electronics,9321.57,9302.02,1.53,0,None
SHP00081,TRK803,Mombasa,Malaba,Kampala,2024-02-29 08:00:00,2024-02-29 20:43:37.085376,2024-02-29 22:56:40.204650,2024-03-01 05:26:41.039953,Pharmaceuticals,6823.43,6403.61,1.16,0,None
SHP00082,TRK763,Mombasa,Malaba,Kampala,2024-02-08 08:00:00,2024-02-08 20:57:35.233048,2024-02-09 10:41:07.487512,2024-02-09 14:58:15.789163,Electronics,16889.43,20546.51,1.51,1,Traffic Congestion
SHP00083,TRK227,Mombasa,Malaba,Kampala,2024-04-29 22:00:00,2024-04-30 07:49:28.369716,2024-04-30 10:21:47.339225,2024-04-30 15:58:23.461901,Food,17507.08,20057.1,1.14,0,None
SHP00084,TRK542,Mombasa,Malaba,Kampala,2024-03-23 19:00:00,2024-03-24 04:30:07.946692,2024-03-24 08:21:20.581445,2024-03-24 12:43:15.688612,Pharmaceuticals,7015.75,8437.42,1.58,1,None
SHP00085,TRK690,Mombasa,Malaba,Kampala,2024-01-11 05:00:00,2024-01-11 15:49:22.817782,2024-01-12 00:40:54.809107,2024-01-12 07:17:16.545755,Food,12722.34,15390.61,1.42,1,None
SHP00086,TRK193,Mombasa,Malaba,Kampala,2024-04-30 11:00:00,2024-04-30 21:27:00.318818,2024-04-30 23:02:15.009833,2024-05-01 04:19:18.248719,Fuel,37154.66,38301.35,1.45,1,None
SHP00087,TRK778,Mombasa,Malaba,Kampala,2024-04-12 17:00:00,2024-04-13 01:13:12.658015,2024-04-13 02:13:15.356196,2024-04-13 06:34:23.417212,Food,14849.11,21963.75,1.3,0,None
SHP00088,TRK773,Mombasa,Malaba,Kampala,2024-05-18 14:00:00,2024-05-19 00:28:46.147529,2024-05-19 06:13:45.122362,2024-05-19 10:58:46.310958,Food,19339.51,22220.04,1.32,0,None
SHP00089,TRK308,Mombasa,Malaba,Kampala,2024-03-09 17:00:00,2024-03-10 01:47:09.885745,2024-03-10 07:51:41.942991,2024-03-10 13:00:49.562679,Pharmaceuticals,4908.27,4025.81,1.42,0,None
SHP00090,TRK826,Mombasa,Malaba,Kampala,2024-02-10 09:00:00,2024-02-10 20:18:18.122551,2024-02-11 04:59:07.432661,2024-02-11 11:11:39.852951,Fuel,24494.01,34021.79,1.16,0,None
SHP00091,TRK763,Mombasa,Malaba,Kampala,2024-02-09 15:00:00,2024-02-10 04:35:45.306095,2024-02-10 11:54:07.380071,2024-02-10 17:04:10.186539,Pharmaceuticals,3640.55,5039.64,1.59,0,None
SHP00092,TRK567,Mombasa,Malaba,Kampala,2024-05-21 04:00:00,2024-05-21 14:18:05.457886,2024-05-21 20:32:31.873528,2024-05-22 04:13:46.774887,Construction Materials,29925.85,26800.27,1.13,1,None
SHP00093,TRK448,Mombasa,Malaba,Kampala,2024-05-09 08:00:00,2024-05-09 20:55:23.868621,2024-05-09 23:43:29.787924,2024-05-10 04:51:22.669283,Food,22562.14,27208.73,1.43,0,None
SHP00094,TRK557,Mombasa,Malaba,Kampala,2024-05-17 15:00:00,2024-05-18 01:04:14.677141,2024-05-18 07:01:31.002187,2024-05-18 13:13:58.612993,Construction Materials,22544.2,32756.65,1.53,0,None
SHP00095,TRK685,Mombasa,Malaba,Kampala,2024-04-08 07:00:00,2024-04-08 20:08:09.880281,2024-04-09 02:21:33.122291,2024-04-09 08:00:08.283667,Food,21170.58,27387.52,1.51,1,None
SHP00096,TRK779,Mombasa,Malaba,Kampala,2024-06-15 04:00:00,2024-06-15 14:58:19.098832,2024-06-15 17:41:03.209194,2024-06-15 21:49:56.291597,Construction Materials,34307.07,35418.49,1.15,1,None
SHP00097,TRK202,Mombasa,Malaba,Kampala,2024-05-14 14:00:00,2024-05-14 22:05:31.508115,2024-05-15 14:21:29.923729,2024-05-15 18:56:05.761719,Textiles,8893.03,8075.34,1.33,1,System Downtime
SHP00098,TRK738,Mombasa,Malaba,Kampala,2024-06-26 12:00:00,2024-06-26 23:53:56.471696,2024-06-27 06:58:04.226260,2024-06-27 14:22:29.646470,Textiles,9069.22,10643.05,1.58,1,None
SHP00099,TRK993,Mombasa,Malaba,Kampala,2024-05-18 01:00:00,2024-05-18 12:42:17.124371,2024-05-18 14:48:00.511222,2024-05-18 19:44:21.202723,Pharmaceuticals,7525.57,11274.8,1.47,1,None
SHP00100,TRK200,Mombasa,Malaba,Kampala,2024-06-11 22:00:00,2024-06-12 11:14:07.711424,2024-06-12 19:56:43.112800,2024-06-13 01:43:12.083944,Pharmaceuticals,3796.8,3114.37,1.26,0,None
SHP00101,TRK400,Mombasa,Malaba,Kampala,2024-04-01 11:00:00,2024-04-01 21:35:02.834618,2024-04-02 07:19:13.102134,2024-04-02 12:17:49.545157,Machinery,20450.42,27705.49,1.18,0,None
SHP00102,TRK724,Mombasa,Malaba,Kampala,2024-04-07 19:00:00,2024-04-08 07:05:55.706927,2024-04-08 13:52:26.193094,2024-04-08 19:51:52.601528,Construction Materials,17862.35,20055.93,1.23,1,None
SHP00103,TRK782,Mombasa,Malaba,Kampala,2024-01-03 14:00:00,2024-01-04 03:24:26.123550,2024-01-04 07:30:56.937802,2024-01-04 14:13:34.534556,Electronics,6107.93,8927.75,1.59,1,None
SHP00104,TRK754,Mombasa,Malaba,Kampala,2024-04-18 22:00:00,2024-04-19 07:30:02.121647,2024-04-19 10:06:45.523384,2024-04-19 17:29:37.899906,Electronics,19990.6,27933.56,1.15,1,None
SHP00105,TRK685,Mombasa,Malaba,Kampala,2024-04-01 18:00:00,2024-04-02 03:46:30.843629,2024-04-02 08:28:57.093350,2024-04-02 15:16:46.712096,Fuel,39558.89,49874.3,1.24,0,None
SHP00106,TRK720,Mombasa,Malaba,Kampala,2024-05-07 09:00:00,2024-05-07 21:39:16.005159,2024-05-08 04:05:43.885373,2024-05-08 09:00:57.590203,Textiles,6170.89,7686.66,1.41,0,None
SHP00107,TRK743,Mombasa,Malaba,Kampala,2024-01-25 20:00:00,2024-01-26 07:52:40.957152,2024-01-26 12:55:42.848409,2024-01-26 18:09:51.481938,Machinery,8734.02,9217.91,1.17,1,None
SHP00108,TRK434,Mombasa,Malaba,Kampala,2024-04-16 05:00:00,2024-04-16 14:12:17.167564,2024-04-17 03:12:40.861507,2024-04-17 10:21:26.645986,Food,17962.79,25856.37,1.52,1,Traffic Congestion
SHP00109,TRK925,Mombasa,Malaba,Kampala,2024-03-16 23:00:00,2024-03-17 12:13:20.574321,2024-03-17 20:03:29.232948,2024-03-18 03:16:30.181504,Machinery,29183.65,26222.38,1.58,1,None
SHP00110,TRK966,Mombasa,Malaba,Kampala,2024-05-22 11:00:00,2024-05-22 19:32:30.542112,2024-05-22 21:54:09.278699,2024-05-23 03:28:51.152368,Food,18048.58,20184.63,1.44,1,None
SHP00111,TRK698,Mombasa,Malaba,Kampala,2024-04-07 20:00:00,2024-04-08 09:38:30.304862,2024-04-08 11:32:07.131534,2024-04-08 15:58:07.315406,Electronics,12072.15,14893.2,1.57,1,None
SHP00112,TRK724,Mombasa,Malaba,Kampala,2024-02-26 20:00:00,2024-02-27 04:22:45.488089,2024-02-27 11:29:25.280131,2024-02-27 18:47:08.797191,Pharmaceuticals,3813.14,4140.33,1.17,0,None
SHP00113,TRK411,Mombasa,Malaba,Kampala,2024-05-06 03:00:00,2024-05-06 11:34:59.347170,2024-05-06 15:45:59.974450,2024-05-06 23:18:56.508493,Electronics,10829.69,11476.31,1.57,1,None
SHP00114,TRK701,Mombasa,Malaba,Kampala,2024-02-09 13:00:00,2024-02-10 00:55:46.312986,2024-02-10 09:14:09.484165,2024-02-10 16:34:14.664564,Construction Materials,23162.32,33957.47,1.12,1,None
SHP00115,TRK322,Mombasa,Malaba,Kampala,2024-04-23 14:00:00,2024-04-24 03:42:11.991669,2024-04-24 10:46:09.292458,2024-04-24 18:11:27.775242,Fuel,39618.55,41882.13,1.55,1,None
SHP00116,TRK162,Mombasa,Malaba,Kampala,2024-04-11 08:00:00,2024-04-11 17:08:19.864943,2024-04-11 21:51:43.405241,2024-04-12 02:21:02.505196,Textiles,10417.72,9002.7,1.21,0,None
SHP00117,TRK151,Mombasa,Malaba,Kampala,2024-03-26 07:00:00,2024-03-26 20:55:58.531525,2024-03-26 23:19:05.186880,2024-03-27 06:27:57.671520,Electronics,6029.15,8052.59,1.2,0,None
SHP00118,TRK932,Mombasa,Malaba,Kampala,2024-02-29 10:00:00,2024-02-29 22:38:46.361281,2024-02-29 23:46:29.318308,2024-03-01 06:55:45.788370,Construction Materials,15056.71,21092.71,1.17,0,None
SHP00119,TRK653,Mombasa,Malaba,Kampala,2024-03-05 05:00:00,2024-03-05 13:39:34.409114,2024-03-05 19:32:07.513124,2024-03-06 03:00:04.362718,Electronics,5222.9,7066.53,1.22,1,None
SHP00120,TRK116,Mombasa,Malaba,Kampala,2024-02-14 08:00:00,2024-02-14 16:18:51.818786,2024-02-14 17:52:30.535349,2024-02-15 00:50:31.275369,Construction Materials,17272.99,14586.88,1.32,1,None
SHP00121,TRK625,Mombasa,Malaba,Kampala,2024-05-31 03:00:00,2024-05-31 13:42:43.317070,2024-05-31 16:00:38.321668,2024-05-31 20:53:48.638160,Construction Materials,15867.3,21393.23,1.53,1,None
SHP00122,TRK569,Mombasa,Malaba,Kampala,2024-06-13 00:00:00,2024-06-13 08:21:53.828802,2024-06-13 13:59:03.376626,2024-06-13 19:54:00.716144,Machinery,17378.02,15215.73,1.46,1,None
